organisationsnummer,leverantör
5563260628,NCA FACILITY SERVICES AB
5566134929,NCC CONSTRUCTION SVERIGE AB
5563023307,NCC ROADS AB
5164020363,NCH EUROPE INC.USA (SVERIGEFILIALEN
5564267358,NEDERMAN SVERIGE AB
5568346026,NEK NATIONELL ESTETISK KONGRESS
5567311021,NEKTAB - NORDISK ELKRAFTTEKNIK AB
5569803975,NESELIUS WOUND COMPETENCE AB
5566565502,NETJOBS GROUP AB
5565204137,NETONNET AB
5567095640,NETONO AB
5567614960,NETS SWEDEN AB
8024335609,NETWORK USERS SWEDEN
5566621081,NEW CAREER
9697247097,NEW YORKER SVERIGE KB
5565479770,Nexus ID Solution AB
5562051358,NIHLÉN ELMONTAGE AB
7696204614,NILE ASS. EK. FÖR.
5561821629,NILFISK ALTO SVERIGE AB
5565703005,NIMBUSGÅRDEN AB
5563946234,NIVÅBYGGEN
5562053776,"NO.1 GUITARSHOP, GUITARSHOPPEN I GÖTEBORG AB"
7696092167,Noaks Ark förskola
5564778032,NOKAS LARMCENTRAL
5563552156,NOKAS LÅSTEKNIK GBG AB
5562568138,NOKAS SECURITY AB
5564791829,NOKAS TEKNIK AB
5565513263,NOKAS VÄRDEHANTERING AB
5565263976,"NOMOR AB, FALUN"
,NOO JAZZ
5564053964,NORCONSULT AB
5561203679,NORDENS TEKNIKERINSTITUT AB
5564436789,NORDIC BIOLABS AB
5561068171,NORDIC CRANE KYNNINGRUD AB
5566409263,NORDIC FASTENING GROUP AB
5562190818,NORDIC PLASTICS GROUP AB
5568578719,NORDIC RECORDS AB
5564186657,NORDICOLD AB
5562298322,NORDISK FILM AB
5565901484,NORDISK KOMMUNIKATION
5568734338,NORDISK ÅTERVINNING SERVICE AB
5565851507,NORDISKA MUSIKGYMNASIET
5569216418,NORDISKT VALIDERINGSFORUM AB
5560734054,NORDKALK AB
5563622074,NORDOMATIC AB
5560533886,NORDSJÖFISK AB
7164095379,NORDSTANS FÖRETAGAREFÖRENING EKONOMISK FÖRENING
5562032721,NORDTEC INSTRUMENT AB
5565056719,NORMANS I JÖNKÖPING AB
7164443819,NORRA HÄSTEVIKS SAMFÄLLIGHETSFÖRENING
5567983431,NORRA STOCKHOLMS UNGDOMSHEM AB
5560013574,NORRA ÄLVSTRANDEN UTV. AB
2321000230,NORRBOTTENS LÄNS LANDSTING
5566862743,NORSECRAFT GEO AB (FB)
5560457748,NORSTEDTS FÖRLAGSGRUPP AB
5568865967,NORTHERN PROPERTIES AB
5565162467,NOTISUM AB (FB)
5565059788,NOTPOSTEN
5566018643,NOVA SOFTWARE AB
5564687126,NOVOTEL HOTELS
5569499824,NOX FINANS AB
5565354239,NUMERA MÄSSOR AB
7696250096,NUNI EKONOMISK FÖRENING C/O ROGER A
2321000131,NU-SJUKVÅRDEN
5565682746,NUTID AB
5562420348,NUTRICIA NORDICA AB
5568319502,NYA HIMLARS AB
5565162681,NYA LE PAIN FRANCAIS AB
5590309646,NYA LIVET ENSAMKOMMANDE FRITSLA AB
5567111975,NYA LÅNGEDRAG VÄRDSHUS
5566127600,NYA SKOLAN TROLLHÄTTAN AKTIEBOLAG
5568359193,NYA SWIMTEC
5564350964,NYBERG & KARLSSONS ELEKTRISKA AB
5564306107,NYCKETALS INSTITUTET.
8020140797,NYHETSBYRÅN IPS/STIFTELSEN IPS
5567418511,NYLANDERS MATTOR AB
5565814554,NYMANS UR 1851
7164451069,Nymånen Förskola
5562216613,NYRÉNS ARKITEKTKONTOR AB
5564969367,NYTIDA VIP AB
5564270519,NÅJDEN BEHANDL.KONSULT AB
5566997937,NÄMNDEMANSGÅRDEN I SVERIGE AB (FB)
5590081849,NÄRAPOTEKET I MAJORNA AB
2321000131,NÄRHÄLSAN
5590343116,NÄRKE- OCH VÄSTMANLANDSOMSORG AB
5562020791,NÄRKES VITAL AB
5565754784,NÄTVERKSCENTRUM AB ÖPPENVÅRDSGRUPPEN
5565754784,NÄTVERKSCENTRUM I GÖTEBORG AB
5567650345,NÄTVERKSKOMPANIET BARBRO TENERZ AB
2021002817,NÄTVERKSTAN EKONOMITJÄNST/FAUNA OCH FLORA
5568528888,NÄÄS FABRIKER HOTELL O RESTAURANG
5566445044,NÖJDS KONDITORI AB
5562792514,NÖMMEBERGS VÅRDHEM AB
5564442597,NÖSUNDS VÄRDSHUS & ORANGERI
5565582342,OAKLEYŽS    C OCH W I GÖTEBORG AB
5564209608,OASEN HVB & SKOLA AB
5566501796,OASEN UTBILDNINGSCENTER AB
5565899035,OCTOPUS DEMENS AB
5564964640,ODEON PUB & RESTAURANG AB
5566808746,ODERLAND WEBBHOTELL AB
5565792131,OFELIA VÅRD AB
5566259429,OFF.CLINIC AB
5569298341,OFFENTLIG SÄKERHET I SVERIGE AB
5560249558,"OFFICE DEPOT SVENSKA AB, SVANSTRÖMS"
5567789325,OFFICE IT-PARTNER VÄST AB
5564834371,OFFICE MANAGEMENT AB
5565765947,OFFICE MANAGEMENT TA SUPPORT AB
5565635702,OGSAW FÖRLAGS AB
5564508249,OHLSON & WINNFORS AB
7164451028,OKAY FÖRSKOLA
5566893664,OKIDOKI ARKITEKTER AB
5560273244,OK-Q8 AB
5566308986,OLIVIA PERSONLIG ASSISTANS
5562486596,OLJEFIRMA J CHRISTENSSON AB
,OLLES LÅS OCH FASTIGHETSSERVICE
5565072435,OLOF LEANDER MÅLERI AB
8024738554,OLYMPIC BASKETBOLLKLUBB GBG
5562119627,OMICRON CETI AB
5568445554,OMSORG  I FALKÖPING AB
5566402292,OMSORGSCOMPAGNIET I NORDEN AB
5568575616,OMSORGSINSTITUTET I SVERIGE AB
5565912978,ON INTERIÖR AB (FB)
5560757287,ONE NORDIC AB
,ONE.COM
5567644140,ONEMED SVERIGE AB
5563375574,ONTIME
5564555208,OPALEN VÅRD AB
5569370637,OPOINT AB (FB)
5561240598,OPSIS AB
5567028492,OPTIK SMARTEYES AB
5566746763,OPTIMAL ASSISTANS I GÖTEBORG AB
5569834491,OPTIMAL HÄSTHÄLSA AB
5561938134,OPTIMERA SVENSKA AB
5565573150,OPUSCAPITA AB
5562546746,ORACLE SVENSKA AB
5567231625,ORDAF AB
5562030451,ORDER NORDIC AB
,ORDVAN TEXTPRODUKTION
5560426701,ORIOLA C/O KRONANS DROGHANDEL AB
5562380302,ORKLA FOODS SVERIGE AB
5565191300,ORREFORS KOSTA BODA AB
5562628312,ORTSTIDNINGAR I VÄST AB
2520014966,OSCAR FREDRIKS FÖRSAMLING
9697505429,OSCAR LUNCHRESTAURANG
5561293803,OTIS AB
5564052875,OTIUMHUSET AB
5567787634,OTR BYGG AB
,OVEMERY
5567051833,P S P A LEV VÄL ASSISTANS AB
,P.A.G AUDIO
5565749537,PA CARE AB (FB)
5568420672,PAAM SYSTEMS SWEDEN AB
,PABLO COPA
5568433220,PALACE HOTELL GRAND HOTELL PALACE A
5561520114,PALMENCO AB
5567093090,PALOMA IN SWEDEN AB
5567543060,PAMO AB
5560736356,PANDURO HOBBY AB
5590316823,PANGEA FAMILJEHEMSVÅRD AB (FB)
5590316823,PANGELIUS FAMILJEHEMSVÅRD AB
5560576554,PAPYRUS SUPPLIES AB
5565417135,PARADISVERKSTADEN DESIGN AB
5566129622,PARALARM
5569722662,PARK CAFÉ HÄRLANDA AB
,PARS KONDITORI
5569142747,PARTILLE HISS AB
2120001272,PARTILLE KOMMUN
8572060575,PARTILLE KVINNOJOUR
5563214401,PARTILLE SKOG OCH TRÄDGÅRD AB
5562230838,PARTILLE STORMARKNAD AB
5561770362,PARTNERGRUPPEN SVENSKA AB
5568082480,PARTNERLOGISTIK I LIDKÖPING AB
5567176630,PARTYKUNGEN / G9 MEDIA AB (FB)
5567176630,PARTYKUNGEN.SE / G9 MEDIA AB (FB)
5590075163,PARTYLAND FRÖLUNDA
5590170543,PASSAGE FÖR UTVECKLING AB
5565998316,PASSAL AB
5563394773,PASSET SCREEN AB
5569767196,PASTA I GÖTEBORG AB
5560426396,PASTA+
5566711593,PATER ASSISTANS AB
,PATRIK LIND PSYKOLOG
5569376782,PAUSSYSTEM I BORÅS AB
5566462858,PAYSON AB (FB)
5563174134,PAYZONE NORDIC AB
5568451735,PC MEDKONSULT AB
5567179006,PCS MODULSYSTEM GÖTEBORG AB
5566815915,PE3 FÖRETAGSHÄLSA
5565686721,PEAB ANLÄGGNING AB
5561547364,PEAB GRUNDLÄGGNING AB
5564427432,PEABSKOLAN
5566913660,PEARSON SWEDEN AB
5564448453,PEDRO JOHANSSON PRODUKTION AB
5563838795,PELLE DANIELSSON RESTAURANG AB
5568233778,PELLE STEIJNER EL SERVICE AB
5565242467,PELLET VÄRME VÄST I GÖTEBORG AB
5565691077,PENSIONSVALET PV AB
8024334933,PENSIONÄRSKLUBBEN VÄSTERTRÄFFEN
5563808970,PEREMA
5568709892,PEROS SKOLTEKNIK AB
5566357603,PERSONALKOOPERATIVET VINTERGATAN
5565506879,PERSONLIG ASSISTANS I GBG AB
5565506879,PERSONLIG ASSISTANS I GÖTEBORG AB
5564498193,PERSSON HYRMASKINER
8572003666,PETER ISAAC BÉENS UTBILDNINGSSTIFTE
,PETER JANSON
,PETER SVENSON BILD
5566399357,PETTERSSON PROGRESS AB
5566362538,PHONIRO SYSTEMS AB (FB)
5565701470,PHOTOMIC AB
,PIERRES CATERING
,"Pilhede, Marie Eleonor"
5568411259,PINGELING AB
8572004094,PINGSTKYRKAN VÄSTRA FRÖLUNDA
,PIZZA GIGANTE
9696913533,PIZZERIA PEPPERONI
5565315552,PLANERAFÖRLAGET I STOCKHOLM AB
5565334272,PLANIT SWEDEN AB
9697624113,PLANKAN KÖK & BAR
5562314350,PLATSMÄSTAR'N
5566903141,PLAYALONG AB
5565789129,PLUSGYMNASIET AB
5567402192,PMP PUBLIC  MEDIA PARTNER AB (FB)
5564794609,POCKET SHOP AB
7164446234,POLARNA FÖRSKOLA
2021000076,POLISMYNDIGHETEN I VÄSTRA GÖTALAND
5563364107,POLLEX
5568459845,POLYMAN GROUP SWEDEN AB
5567395263,PONTARIUS AB
5566005749,PORTS IT AB
5567443964,POSIFON AB
5569203739,POSITIVUM AB (FB)
,POSITRONEN C/O HÅKAN JOHNSSON
2021005489,"POST- OCH INRIKES TIDNINGAR, BOLAGS"
2021004359,POST- OCH TELESTYRELSEN
5567115695,POSTEN MEDDELANDE AB
5567115695,POSTNORD LOGISTICS AB
5567115695,POSTNORD SVERIGE AB
5563490225,PPV AB
5563072171,PR COFFEE SOLUTIONS SVERIGE AB (FB)
5560772419,PRAKTIKERTJÄNST
5562575786,PRAKTISKA SVERIGE AB
5560726977,PREEM AB
5560726977,PREEM PETROLEUM AB
5560726977,PREEM PETROLEUM AB (PUBL)
5562703727,PREERA AB
5562652106,PRESENTA OF SCANDINAVIA AB (FB)
5561120584,PRESTO BRANDSÄKERHET AB
5565989794,PREVECON
8020057587,PREVENT (FB)
5563706356,PREVENT BEVAKNING AB
5561993899,PREVEX AB
5562351907,PREVIA (FB)
5567425789,PRIMACURA AB
5562533819,PRIMETEX AB
5563105534,PRIMÄR FASTIGHETSFÖRVALTNING
2321000131,PRIMÄRVÅRDEN PNV
5568475783,PRINSGATANS BLOMSTERAFFÄR AB
5564839032,PRIO INFOCENTER AB
5563758621,PRITEC VACULYFT AB
8572063488,PRO NATURA
5562752898,PROCESSING GRUPPEN AB
5566157102,PROCIVITAS PRIVATA GYMNASIUM AB
5566482179,PROCURATOR AB
5565236576,PROEKO AB
5568031461,PROFALITY AB
5562421718,PROFFICE SVERIGE AB (FB)
5567209746,PROFILAR AB (FB)
5562235365,PROFOOD AB
5565005849,PROGRAMDUON AB
5566264767,PROGRO AB
5566240684,PROJEKTGARANTI AB
8572038860,PROLETÄRENS FF
5566001169,PROMENTOR FINANS AB
5561189548,PROMINENT DOSERTEKNIK AB
5563245397,PROPÉ AB
5565598538,PROSPERO TECHNOLOGY MANAGEMANT AB
5564638459,PROTECH NORDIC AB
5564957297,PROTEKT PROJEKTSTYRNING AB
5562425495,PROTON CARETEC AB (FB)
5563173979,PROTON ELEKTRONIK AB
5567589394,PROTORENT AB
5564862893,PROVANUM AB (FB)
7164445251,Prästkragen
5569337214,PSI SERVICES AB
,PSYKOLOG PÅ STORA TEATERN
5567061600,PSYKOLOGHUSET AB
,PSYKOLOGKONSULTATIONER LILLEMOR HUL
5567759328,PSYKOSOCIAL SUPPORT FAMILJEHEMSGUID
,PSYKOTERAPIINSTITUT JOLANTA KISZKIEL
9697540723,PT MASKIN O ENTREPRENAD HB
9697502210,PUBLIC PARTNER KB
7696007728,Puh
5565495412,PUMPHUSETSVERIGEAB
5569770893,PURE COMFORT AB
5564870938,PURE SOLUTIONS SCANDINAVIA AB
5566665468,PURENOVA MILJÖTEKNIK AB
,PW HUMAN CAPITAL
8020130079,PYGMÈTEATERN
5563218576,PYRAMIDEN ARKITEKTER AB
5567980031,PYRAMIDEN PROJEKTLEDNING AB
5564409620,PÅVELUNDS SPORTHALL & FASTIGHETS AB
5564483484,QUALITY AIRPORT HOTEL ARLANDA
5565545661,QUALITY HOTEL 11
5565870036,QUESTATE AB
8572028234,QVIDING FIF
5563800753,RA BYGG
5566706197,RADAR ARKITEKTUR O PLANERING AB
5560271065,RADIATOR VVS AB
5561292037,RADISSON SAS SCANDINAVIA HOTEL
,RAGNAR SCHMID
5560573452,RAGN-SELLS AB
5561330506,RAMBÖLL SVERIGE AB
5565594610,RAMIRENT AB
5565541876,RAMKOMPANIET I MÖLNDAL AB
5562665520,RAMLÖSA SOCIAL UTVECKLING AB
5564808342,RAMSDALS FASTIGHETS AB
,RAMTAM RADIRAM RECORDS
5566746730,RAMUDDEN AB
5565867248,RANDÉNS MATTOR AB
5561841395,RANTZOWS SPORT AB
5566812227,RASMUSGÅRDEN AB
5563348548,RASTA KULTURRESTAURANGER AB
5566187141,RASTA SVERIGE AB
8024476270,RAYMI
5569166720,RB RESTAURANG AB
5567647093,REACHEM AB
9168349067,REBO KB
5563468379,RECOGNUS AB
5566487517,RECRUTO AB
5564577772,REDBERGSGÅRDENS KONDITORI AB
5566550942,REGGIO EMELIA INSTITUTET AB
5566550942,REGGIO EMILIA INSTITUTET AB
2321000115,REGION HALLAND
2321000057,REGION JÖNKÖPINGS LÄN
2321000255,REGION SKÅNE
2321000131,REGIONSERVICE
5563915395,REINERTSEN
5560510272,REJLERS INGENJÖRER AB
5562903871,REKAL SVENSKA AB
5567067102,REKLAMBUTIKEN I SVERIGE AB (FB)
5569450835,REKTORSUTHYRNING I SVERIGE AB
,RELEAF TRÄDGÅRD
5566143292,REN VÄG AB
5164060484,RENAULT FINANCE NORDIC (FB)
8572066812,RENINGSBORG
5561083337,RENOVA
5569460321,RENOVA MILJÖ AB
5565780847,RENT-A-NURSE SCANDINAVIA AB
5567800601,REQTEST AB
5562266972,RESDAX SKI AB
5561644260,RESIA AB
5569913972,RESILIENS I ÖREBRO AB
5565114146,RESTAURANG AB BRYGGVÄGEN 100
5565866695,RESTAURANG ASSISTANS
,RESTAURANG BAZAR / MUCHA CHO
5569860975,RESTAURANG DARBAN
5567816664,RESTAURANG KOMETEN I GÖTEBORG AB
5565786588,RESTAURANG MAHARANI MIRCH AB
5569941759,RESTAURANG MIKLA & GÅRD AB
5566891692,RESTAURANG POSTILJONEN
9697440114,RESTAURANG SAN SOUAN
5567214878,RESTAURANG SJÖBAREN AB
5567269757,RESTAURANG TRE INDIER RURKI AB
5564692415,RESTAURANG TVÅKANTEN
5567212187,RESTAURANG VIKTORIA
9168523646,RESTAURANG VIVALDI
5569070195,RESTAURANG YAMMY KITCHEN
9697261965,RESTURANG DA VINCI MATKING HB
5568522162,RESULTATBOLAGET SVERIGE AB
5164010208,"RESURS BANK AB, OFFICE CREDIT"
5565861571,RETRIEVER SVERIGE AB
7696281737,RETURUM EKONOMISK FÖRENING
5569424665,REXIUS RECORDS AB
5566894209,RFSL MEDIA O INFO AB
8024096318,RFSL UNGDOM
8572061789,RFSU GÖTEBORG
5560708892,RIBO-VERKEN AB
5563703916,RICHARD MAGNUSSON AB
5562288851,RICOH SVERIGE AB
2021001074,RIKSARKIVET
7020017781,RIKSBYGGEN
7572017528,RIKSBYGGEN
8630007774,RIKSFÖRBUNDET FÖR FÄLTARBETE
8024738265,RIKSFÖRBUNDET FÖR VETENSKAPSSPORT
8020068881,RIKSFÖRBUNDET NARKOTIKAFRITT SAMHÄL
8024276795,RIKSFÖRBUNDET SVERIGES MUSÉER
8020081348,RIKSFÖRENINGEN AUTISM
8744007678,RIKSFÖRENINGEN FÖR MEDICINSKT ANSVA
5566491444,RIKSLUNCHEN AB
2021004995,RIKSUTSTÄLLNINGAR
5563456226,RIMAB FACILITY SERVICE
5566297924,RINGGÅRDEN AB
5562774538,RINGÖNS SKYLT & NEONPRODUKTION AB
5567189229,RISET ADAPTEREXPERTEN AB
5564591732,RISINGEGÅRDENS BEHANDLINGSHEM AB (FB)
5564455235,RIT&C@D
5562818897,RIVER CAFÉ AB
,ROGER WILSON ENSKILD FIRMA
5564065059,ROLANDŽS FRUKT & GRÖNT AB
7696042345,Romano Ilo
8024469465,ROMSKA KULTURFÖRENINGEN I VÄSTRA GÖTEBORG
5565793311,ROSENGRENS ADVOKATBYRÅ
5562694793,ROSENHILL VÅRD OCH OMSORG AB
5569365066,ROSENLUNDS KONDITORI & CAFÉ
5568219454,ROSENLUNDSGATANS LIVS AB / ICA SUPE
5561794602,ROSLÖV AB
,ROSMARIE GÄCKE-HERBST SKOLLÄKARE
5563174563,ROSUS SKYLT O GRAVYR
5567328447,ROTPARTNER GÖTEBORG AB
5567989321,ROX-REPORTAGE
,ROZSAS FRISKVÅRD
5568190176,RUBANK VERTYGS NO. 1 AB (FB)
5560731225,RUCKMANS BOKHANDEL AB / BOKIA
8572019142,Rudolf Steinerskolan
8156005509,RUDOLF STEINERSTIFT
,RUFFA MEDIA
5564691607,RULLAB / RULLTRAPPSERVICE AB
5564532009,RUNELANDHS FÖRSÄLJNINGS AB
,RUT OCH JAG KOMMUNIKATION
5566613484,RYDS BEHANDLINGSHEM AB (FB)
5567893457,RYDS GLAS VÄST AB
5563300010,RYMD LIVS AB
5569204950,RYMDEN
5568515372,Ryska Skolan i Göteborg Ab
,RYTMIK VERKSTAN
5564648979,RYTMUS AB REF 61624
5566156070,RÅBE & KOBBERSTAD AB
5566898374,RÅD & RÖN AB
5565470571,RÅDHUSET ARKITEKTER AB
7164448602,RÄBBÅSVÄGENS SAMFÄLLIGHETSFÖRENING
8020028638,RÄDDA BARNEN
8572025974,RÄDDNINGSMISSIONEN
2220000752,RÄDDNINGSTJÄNSTEN STORGÖTEBORG
2321000131,RÄTTIGHETSKOMMITTEN/VÄSTRA GÖTALAND
8551021952,Römosseskolan
7696145411,S.K/Senapskornet              36
5562034750,S:T ERIKS AB
8645009468,S:T LUKAS BORÅS
2520015153,S:T PAULI FÖRSAMLING
5567121313,S2MÅLERI
5564397361,SABO AB
5562750405,SACKEUS AB
,"Sadat, Bushra"
5563361681,SAFE TEAM I SVERIGE AB
5567390710,SAFETEL AB
5566986153,SAFETYTECH AB
5564726189,SAGITTA PEDAGOG AB
7696101778,Sagolunden
2321000131,SAHLGRENSKA UNIVERSITETSSJUKHUSET
2120002874,SALEMS KOMMUN
5566043765,SALSTAD GÄSTHEM AB
5567919229,SALT & PEPPARKVARN AB
8572003260,SALTKRÅKAN FÖRSKOLA
5565427084,SALTKÄLLEGÅRDEN AB
5568080542,SALVARE EDUCATION AB
5563839975,SAM Å JIMMY AB
,"SAMA PRODUKTION, LENA SAMUELSSON"
5568122252,SAMGRÄV MASKINFÖRMEDLING AB
5564481397,"SAMHALL AB, EKONOMIAVD."
5562200427,SAMHÄLLSBYGGARNA (FB)
5568389398,SAMKO AB
2220001693,SAMORDNINGSFÖRB. GBG NORDOST/VÅRD
5566215215,SAMPORT PAYMENT SERVICES (FB)
5565990545,SAMSA AB
,SAMSPRÅK
5562911965,SAMTRANS SKOL- OCH HANDIKAPPTRANSPO
5560161183,SAND & GRUS AB JEHANDER
5560491713,SAND O TRÄ AB
5567572853,SANDARNA KONDITORI AB
5567533210,SANDHEM HUS2 AB IVAR KJELLBERG FAST
5565264909,SANDHOLM ASSOCIATES
5560760828,SANDSTENS TRYCKERI AB (FB)
5567682157,SANDYS ASSISTANS AB
9696606418,SANGIOVESE HB
5564101219,SANICARE
5560945619,SANKT JÖRGEN PARK RESORT
8932010476,SANNA GÅRD STIFTELSEN
5567005912,SANOFI PASTEUR MSD AB
5562032481,SANOMA UTBILDNING
5566861398,SAPS MEDICAL AB
5564662558,SARGENTA AB
5565425096,SARRASSO AB
5561857565,SARSTEDT AB
5569758765,SASK I MALMÖ AB
,SAXBORN FASTIGHETER
8572030867,SBK GÖTEBORGSAVDELNINGEN
5563591998,SCANAKOS BYGGLEDNING AB
5562326115,SCANDER ER SWEDEN AB
5562991009,SCANDIC HOTEL
5562991009,SCANDIC HOTEL CROWN
5562991009,SCANDIC HOTEL OPALEN
5562991009,SCANDIC HOTEL RUBINEN
5562991009,SCANDIC LINKÖPING CITY
5565209797,Scandic No. 25
5566796511,SCANDINAVIAN PHOTO AB
5565722245,SCANDINFO MARKETING RESEARCH AB
5562548361,SCANDRAFT AB
5164035668,SCANOMAT A/S DANMARK FILIAL
5565693313,SCHAKT I VÄST AB
5562475367,SCHEDEVI PSYKIATRI AB
5562503630,SCHENKER AB
5561670380,SCHENKER CONSULTING AB
5566835384,SCHIMPANZ SOLUTIONS AB
5562022821,SCHINDLER HISS AB
5562593532,SCHNEIDER ELECTRIC AB
5569023285,SCHYNOR AB
8020062942,SCOUTERNA
,SCYBERGS LIST O  RAM
2120001355,SDF Centrum
5564146545,SDX STANDARBOX AB
5020329081,SEB SUPPORT FAKTURAFINANSIERING
5566732730,SECURE A KEY
5568939010,SECURITAS DIRECT SVERIGE AB
5561086082,SECURITAS SVERIGE AB
5563361368,SEFYR
5564954534,"SEGLARKROGEN, GERHARDS RESTAURANG A"
5567370431,SEGORIA
8024010194,SEKTIONEN FÖR VENEREOLOGI / STD KLUBBEN
5560693318,SELECTA AB
5568545775,SELESSIA AB
7696079438,SELMA PEDAGOGIK EKONOMISK FÖREN
5565262630,SEMANTIX TOLKJOUREN AB
5562991447,SENAB AB (FB)
8572094509,SENIORNET GÖTEBORG C/O VIKTOR S
5561189456,SENNBERG AB
,SENSE GARDEN
8020064203,SENSUS RIKSFÖRBUNDET
8572039868,SENSUS STUDIEFÖRBUND
5566748074,SERALJ LOUNGE & DINING AB
5566288535,SERENO CERTIFIERING AB
5562648310,SERGEL INKASSO
5567572887,SERGÅRD LINDKVIST AB
5563898609,SERILINE AB
5569207599,SERNEKE KARLAVAGNSPLATSEN AB
,SE-SWEDISH LEADESHIO ACADEMY
5563032662,SETHS ANTENN & TELETEKNIK AB
5567745772,SETTERWALLS ADVOKATBYRÅ
5560351651,SF BIO AB
8640010149,SFB BILDA VÄST
5164037086,SG EQUIPMENT FINANCE
5564770237,SHARP BUSINESS SYSTEMS SVERIGE AB
5561129742,SIBA AB
5561129742,SIBA AB / COMPUTER CITY
5565630893,SICA LÄROMEDEL
5564632247,SICK AB
5565325668,SIDA VID SIDA I STOCKHOLM AB
5560032921,SIEMENS AB
5562564129,SIEMENS FINANCIAL SERVICES AB
5569494494,SIGMA CIVIL AB
5564519345,SIGMA IT CONSULTING SWEDEN AB
5569754988,SIGMA SOCIETY AB
5567568760,SIGNMAX AB
5563571248,SIGRID RUDEBECKS GYMNSAIUM
5565171252,SIKAB
5566260922,SILVERBULLET FILM AB
5569325573,SILVERSEGER AB
5565467981,SIMAB SPORT AB
8450005445,SIMKLUBBEN POSEIDON
,SINDREVISION
5568109101,SINNAMONMUSIC AB
8572063132,SIQ INST FÖR KVALITETSUTVECKLING
9165642985,SIRIUS HANDLEDNINGSINSTITUT
5565527925,SIS FÖRLAG AB
5567622963,SISTRA ASSISTANS AB
5561088393,SITA SVERIGE AB
5561961599,SJ AB
5561961599,SJ AB (FB)
2120001090,SJÖBO KOMMUN
7164451424,Sjöelefanten
8572098187,SJÖFARTENS KULTURSÄLLSKAP
2021000654,SJÖFARTSVERKET
5567934004,SJÖMAGASINET SVERIGE AB
7164452315,Sjöormens Framtid förskola
5562835388,SJÖSPORT AB
8666004612,SJÖVIKS GÅRDEN
5565151189,SKANDEX
5560958232,SKANDIA ELMONAGE AB (FB)
5568123235,SKANDINAVISKA BEMANNINGSPOOLEN AB
5567931638,SKANSKA ASFALT OCH BETONG AB
5562240944,SKANSKA INSTALLATION AB
5560909037,SKANSKA MASKIN AB
6630000229,"SKANSKA VÄG & ANLÄGGNING, REGION VÄ"
5567435994,SKANSKASKOLAN I VÄXJÖ AB
2021005448,SKATTEVERKET
7164447398,SKATTKAMMAREN FÖRÄLDRAKOOP
5565841003,SKELLEFTEÅ HUSHÅLLSSERVICE AB
5562953546,SKENE JÄRN
7696008734,Skeppsskorporna
5562408301,SKF SVERGIE AB
5560430422,SK-GEHRMANS MUSIKFÖRLAG
5560261900,SKL KOMMENTUS AB
5569254864,SKLFS FAKTURATJÄNST AB
5562514595,SKOGÅS BILCENTER AB
5565696613,SKOLCOPY AB
5565850608,SKOLPORTEN AB
7696029730,Skolspåret 5-7 Ljuset
5567616924,SKRABBEBODEN AB
5565765939,SKRIVARMÄSTARNA I GÖTEBORG AB
8572015728,SKYDDSVÄRNET I GÖTEBORG
5566821996,SKYLTAB I VÄST AB
2321000255,SKÅNES UNIVERSITETSSJUKHUS
5566398847,SKÄRGÅRDENS BYGGTEKNIK AB
,SKÄRGÅRDENS PSYKOTERAPIMOTTAGNING
5566658992,SKÄRGÅRDSLINJEN I GÖTEBORG OCH BOHU
5569676843,SL INTERNATIONAL AB
5567689962,"SLIHAB, SVEN IVAR LARSSON I HARBY A"
5563062909,SLOTTSBRO AB
8572048075,SLOTTSSKOGSOBSERVATORIETS VÄNNER
5569558298,SLP SVENSK LYFTPROVNING AB
8572015017,SLS GÖTEBORG
5560942350,SLÖJD DETALJER AB
5560599713,SM MOTOR & MEK AB
5569511818,SMAKFYLLT I HAGA AB
5568627870,SMART FUTURE SÖDERHAMN AB
5568913106,SMARTSEAB
5560996869,SMEKAB AB
5566447784,SMS- TEKNIK AB
5590247291,SMYCKA BACKAPLAN
8572015900,SMYRNAFÖRSMLINGEN I GÖTEBORG
7164086097,SMÅ VÄNNER
7164451770,Småfröna
5562119072,SMÅMASKINS-SERVICE
7696009120,SMÅTROLLEN
5564811023,SNABBSCHAKT I GÖTEBORG AB
SAKNAS,SNELVERTALER BV (FASTTRANSLATOR)
7164448800,Snipan
8024465364,SNITTS
7696163851,Snurran
7164450624,Snäckskalet
5568560691,SNÖVIT ENTREPRENAD AB
5565655072,SNÖVIT KONDITORI OCH SERVERING
5566581277,SOCIALA TJÄNSTER SV AB
5562327873,SODEXO AB
5566491444,SODEXO PASS SWEDEN AB
,SOFIA MAGDALENA ELIASSON
5567137996,"SOFINA, GOURMETBUTIKEN"
5562490192,SOFTRONIC AB
SAKNAS,SOFTWARE POINT
,SOLBACKEN KERAMIK
,SOL-BRITT HÄLSA O MASSAGE
8572039538,Solen
5567749980,SOLFLINGOR AB/RESTAURANG MANANA
5564585288,SOLGLÄNTAN AB
5564396868,SOLHAGA BY
,SOLHUNDEN/ SOLVEIG LANDÉN
5568439912,SOLSERV SOLUTIONS AND SERVICES EURO
5567754402,SOLVEIGS FÖRSKOLA AB
5566552641,SOLÅSEN AB
7164450582,SOLÖGA FÖRSKOLA PERSONALKOOP
8024878236,SOMALI UNGDOMAR FOTBOLL FÖRENING
5564759545,SONESSON INREDNINGAR AB
5562486323,SOPHIAHEMMET REHAB CENTER
5561595819,SOS ALARM SVERIGE AB
